nro.,Tension de Equilibrio (V),Tiempo (6 celdas) (sec.),distancia (6 celdas) (en m),Velocidad limite (m/s),radio(m),carga (en C),,f(e-Δe),e(C),f(e),e(C),f(e+Δe),e(C),(((q-Δq)/e)-q*)^2,((q/e)-q*)^2,(((q+Δq)/e)-q*)^2,,Δa (en m),Δq (en C)
1,279,"4,5","0,0025","0,0005555555556","2.39e-06","8,21E-18",,,"1,00e-19",,,,,,,,,"1,59e-07","1,64e-18"
2,279,"6,28","0,0025","0,000398089172","2.02e-06","4,98E-18",,,,,,,,,,,,"9,67e-08","7,14e-19"
3,278,"3,4","0,0025","0,0007352941176","2.75e-06","1,25E-17",,,,,,,,,,,,"2,43e-07","3,32e-18"
4,270,"6,07","0,0025","0,0004118616145","2.06e-06","5,42E-18",,,,,,,,,,,,"1,02e-07","8,03e-19"
5,138,"18,03","0,0025","0,0001386577926","1.19e-06","2,07E-18",,,,,,,,,,,,"1,99e-08","1,04e-19"
6,49,"25,6","0,0025","0,00009765625","1.00e-06","3,45E-18",,,,,,,,,,,,"1,17e-08","1,40e-19"
7,40,"22,22","0,0025","0,0001125112511","1.08e-06","5,22E-18",,,,,,,,,,,,"1,45e-08","2,48e-19"
8,48,"13,13","0,0025","0,0001904036558","1.40e-06","9,58E-18",,,,,,,,,,,,"3,20e-08","6,86e-19"
9,85,"12,25","0,0025","0,0002040816327","1.45e-06","6,00E-18",,,,,,,,,,,,"3,55e-08","4,47e-19"
10,121,"8,38","0,0025","0,0002983293556","1.75e-06","7,45E-18",,,,,,,,,,,,"6,27e-08","8,03e-19"
11,71,"19,5","0,0025","0,0001282051282","1.15e-06","3,58E-18",,,,,,,,,,,,"1,77e-08","1,73e-19"
12,50,"32,84","0,0025","0,00007612667479","8.85e-07","2,32E-18",,,,,,,,,,,,"8,09e-09","7,89e-20"
